lr = 0.001
Epoch 0, Loss = 20.663121898591335
Epoch 1, Loss = 17.74642826056183
Epoch 2, Loss = 15.498805268678334
Epoch 3, Loss = 14.005227518206434
Epoch 4, Loss = 12.373958499458029
Epoch 5, Loss = 11.268339718996147
Epoch 6, Loss = 10.585846943425175
Epoch 7, Loss = 10.035979235664657
Epoch 8, Loss = 9.152795052629132
Epoch 9, Loss = 8.8711732809374
Epoch 10, Loss = 8.574602669410861
Epoch 11, Loss = 8.315856427370166
Epoch 12, Loss = 8.139035755968058
Epoch 13, Loss = 7.923261172784949
Epoch 14, Loss = 7.840028566598258

acc = 0.96
